,Country,MAE,RMSE,MAPE
80,Iraq,4.31,4.32,176.4021610178873
81,Ireland,4.77,4.8,147.7084662141621
82,Israel,0.61,0.64,18.262417492316445
83,Italy,1.25,1.26,125.62924149783497
84,Jamaica,1.76,1.76,103.91344949726826
85,Japan,1.4,1.4,265.5512699612147
86,Jordan,0.42,0.46,13.982894815343577
87,Kazakhstan,3.66,3.87,146.89678385257463
88,Kenya,0.83,0.83,15.194021775528451
89,Kiribati,0.54,0.58,25.297070482703077
90,Republic of Korea,1.18,1.2,52.20849723559859
91,Kosovo,0.5,0.54,13.94179441764203
92,Kuwait,1.26,1.26,47.00120894536878
93,Kyrgyz Republic,2.43,2.45,61.26877321977078
94,Lao P.D.R.,1.15,1.17,27.403364619871518
95,Latvia,1.21,1.22,37.07654974401479
96,Lebanon,6.81,6.84,70.08807567092171
97,Lesotho,0.87,1.0,46.12525492286422
98,Liberia,2.26,2.27,40.005360592803804
99,Libya,1.57,2.2,21.044333316056782
100,Lithuania,0.48,0.51,21.203020599082116
101,Luxembourg,0.61,0.65,26.08395614836607
102,Macao SAR,4.8,7.0,55.73141449240752
103,Madagascar,0.58,0.62,12.399529305379819
104,Malawi,0.83,0.94,22.18901618457089
105,Malaysia,0.62,0.64,14.397299467429855
106,Maldives,0.33,0.46,5.518052890188634
107,Mali,0.32,0.36,6.251529711474604
108,Malta,1.22,1.22,34.454570150602116
109,Marshall Islands,0.67,0.68,39.689550554551225
110,Mauritania,0.94,1.25,16.72994130646396
111,Mauritius,0.72,0.76,20.03614721173703
112,Mexico,0.55,0.57,30.85435698091309
113,Fed. States of Micronesia,2.23,2.34,221.94624386430468
114,Moldova,2.2,2.23,44.74920338610783
115,Mongolia,0.42,0.5,8.095485660893917
116,Montenegro,0.21,0.21,6.91772962263942
117,Morocco,0.19,0.26,5.773075757991629
118,Mozambique,4.11,4.98,40.39722841895326
119,Myanmar,1.1,1.23,41.79363179662176
120,Namibia,0.85,0.85,32.617903247088876
121,Nauru,3.96,3.96,178.0208611593108
122,Nepal,0.65,0.65,12.518209385175888
123,Netherlands,0.12,0.18,9.33207830206714
124,New Zealand,0.81,1.04,68.40262130896777
125,Nicaragua,0.99,1.0,28.701114278279206
126,Niger,2.26,2.91,26.872313201487675
127,Nigeria,0.75,0.75,25.03747539054896
128,North Macedonia,1.0,1.02,26.818604870847672
129,Norway,0.51,0.64,27.20507573120904
130,Oman,2.88,3.03,95.47078551780234
131,Pakistan,1.58,1.71,33.40920005823869
132,Palau,6.25,6.66,134.5883727980435
133,Panama,2.34,2.35,58.58514216386299
134,Papua New Guinea,1.04,1.13,33.47135895470755
135,Paraguay,0.69,0.69,19.750388309497716
136,Peru,1.92,1.92,63.97125445083489
137,Philippines,0.06,0.08,0.9361043378247034
138,Poland,2.4,2.44,80.0064820225303
139,Portugal,1.75,1.76,91.94182569695772
140,Puerto Rico,0.85,0.94,152.66314003092324
141,Qatar,6.0,6.02,215.54076431216512
142,Romania,0.59,0.63,16.237189724625004
143,Russian Federation,2.91,2.94,341.5373196673401
144,Rwanda,2.14,2.24,31.077098360053263
145,Saint Kitts and Nevis,2.04,2.07,68.56241712556631
146,Saint Lucia,1.91,1.91,109.05343234222553
147,Saint Vincent and the Grenadines,2.33,2.47,66.76022563516614
148,Samoa,1.15,1.25,36.9180516338365
149,San Marino,0.48,0.49,37.968048365993646
150,Saudi Arabia,2.18,2.18,72.13096506759682
151,Senegal,1.56,2.38,19.8248512326546
152,Serbia,1.66,1.74,41.4816974743904
153,Seychelles,0.77,0.79,20.70876871317247
154,Sierra Leone,1.45,1.52,31.189863748793883
155,Singapore,0.3,0.42,13.493737307014369
156,Slovak Republic,0.12,0.14,4.463492562572005
157,Slovenia,0.42,0.42,15.343456545381171
158,Solomon Islands,0.45,0.5,15.159408320333768
159,Somalia,1.08,1.1,26.723855270530304
160,South Africa,0.14,0.15,9.135062486216444
161,Republic of South Sudan,6.2,6.2,138.407372680562
162,Spain,0.82,0.83,45.453665889804526
163,Sri Lanka,0.75,0.81,31.427697225048977
164,Sudan,2.85,2.86,96.85567891512068
165,Suriname,0.58,0.59,19.325782807325957
166,Sweden,0.67,0.68,37.18582344992437
167,Switzerland,0.29,0.29,19.999706378917296
168,Syria,4.43,6.66,1738.8018261741752
169,São Tomé and Príncipe,2.5,2.52,77.74826745729983
170,Taiwan Province of China,0.68,0.72,27.787940387046028
171,Tajikistan,6.29,6.32,154.2954641115329
172,Tanzania,0.61,0.65,9.357574823096293
173,Thailand,2.21,2.21,68.82406952585183
174,Timor-Leste,2.16,2.17,71.18009446319992
175,Togo,0.55,0.59,10.070586890139417
176,Tonga,5.32,5.32,255.30099910462872
177,Trinidad and Tobago,0.39,0.47,18.428418174722445
178,Tunisia,1.12,1.19,45.37502841374946
179,Turkmenistan,5.46,5.47,236.68110143049006
180,Tuvalu,0.27,0.39,9.75539675914699
181,Republic of Turkiye,2.13,2.15,69.38698993617723
182,Uganda,0.54,0.67,8.622911069235371
183,Ukraine,3.29,3.3,109.77177075139033
184,United Arab Emirates,0.71,0.72,17.3781250937525
185,United Kingdom,0.56,0.61,31.940789702969735
186,United States,0.39,0.44,24.700433051140365
187,Uruguay,0.68,0.75,29.445845419479344
188,Uzbekistan,3.69,3.71,67.0946524951505
189,Vanuatu,1.27,1.35,38.136000113345965
190,Venezuela,6.77,7.03,706.4531912372581
191,Vietnam,0.08,0.11,1.1891576966645885
192,West Bank and Gaza,1.98,2.01,92.33535764328833
193,Yemen,8.55,8.77,169.8809191617178
194,Zambia,1.28,1.3,27.72952580898413
195,Zimbabwe,1.21,1.21,43.67911480133174
196,Africa (Region),0.37,0.38,8.515431184941383
197,Asia and Pacific,1.02,1.03,25.148850610804473
198,Australia and New Zealand,0.44,0.52,23.272700295621657
199,Caribbean,4.92,6.67,61.552635194728
200,Central America,1.09,1.09,27.749492160812274
201,Central Asia and the Caucasus,1.96,1.99,59.923531163495916
202,East Asia,1.78,1.8,54.974173590588485
203,Eastern Europe ,1.24,1.26,57.34149169815483
204,Europe,0.2,0.25,10.866259239019788
205,Middle East (Region),1.55,1.55,52.237211360427374
206,North Africa,0.23,0.25,5.008795657953058
207,North America,0.37,0.42,23.73919089556586
208,Pacific Islands ,0.35,0.48,9.114291407100486
209,South America,0.31,0.34,13.66300487298091
210,South Asia,0.12,0.14,2.015500171981747
211,Southeast Asia,0.87,0.87,17.971412271393667
212,Sub-Saharan Africa (Region) ,0.56,0.57,13.278673501624342
213,Western Europe,0.53,0.57,32.50320791143776
214,Western Hemisphere (Region),0.37,0.4,19.341573853032124
215,ASEAN-5,0.99,0.99,21.618139209159683
216,Advanced economies,0.42,0.47,22.836644715862835
217,Emerging and Developing Asia,1.75,1.76,37.51385794291496
218,Emerging and Developing Europe,1.38,1.39,57.782638867476365
219,Emerging market and developing economies,1.42,1.43,35.53796822953979
220,Euro area,0.82,0.84,51.41769158996914
221,European Union,0.44,0.49,22.91420658553652
222,Latin America and the Caribbean,0.33,0.36,13.811453446062352
223,Major advanced economies (G7),0.54,0.59,31.885927215077114
224,Middle East and Central Asia,0.94,0.94,26.088898316798158
225,Other advanced economies,0.17,0.19,7.485739229384506
226,Sub-Saharan Africa,0.36,0.38,8.45785109961605
227,World,0.45,0.46,14.644275500011734
